CURRENCY,min(OBS_VALUE),max(OBS_VALUE),avg(OBS_VALUE)
DKK,7.4234,7.4732,7.44804280364702
MYR,3.8193,5.1857,4.568771142416893
NZD,1.3884,2.5535,1.8146398404428603
HUF,228.16,430.65,289.045436339954
HRK,7.1047,7.7253,7.451267400396215
GBP,0.5711,0.97855,0.775192608270918
CHF,0.9437,1.6803,1.3343765060240977
RUB,33.336,117.201,54.9380093930303
BRL,2.1749,6.9553,3.745239682126097
CZK,22.968,38.583,28.15027336372516
IDR,10867.58,18239.61,14311.950444640112
ROL,12912.0,41429.0,29213.1015625
TRY,1.555,20.0434,4.430620260586327
MTL,0.3883,0.4435,0.4205288628472257
CAD,1.2139,1.8123,1.4657157277759776
CNY,6.5552,11.1699,8.461653356812665
THB,33.204,53.536,41.27735108958844
ZAR,6.0785,20.8452,11.878189010094419
ISK,68.07,305.0,106.98076295711675
ILS,3.2537,5.2192,4.3009507170795205
NOK,7.2225,12.3165,8.61675197004231
AUD,1.1639,2.0735,1.576788765874309
KRW,938.67,1993.95,1349.709939759039
JPY,89.3,169.75,127.60627971344856
RON,3.113,4.951,4.33916759714159
EEK,15.6466,15.6466,15.646600000000033
HKD,6.4361,12.4702,9.282599169651592
INR,56.065,92.065,75.25186577331093
CYP,0.57097,0.5888,0.5783544314236129
PHP,46.852,72.651,59.24420647149463
MXN,14.7939,27.0896,19.613636190724318
LVL,0.5191,0.7099,0.6631938323789635
LTL,3.3013,4.7174,3.5276135709051593
BGN,1.9441,1.962,1.9545920090527724
PLN,3.2053,4.9525,4.165796125040697
TRL,370147.0,1912400.0,1172407.7033181523
SKK,30.126,47.484,39.512409765624895
USD,0.8252,1.599,1.192941549983719
SEK,8.055,11.7135,9.479148990556844
SIT,187.13,240.03,224.630151293314
SGD,1.3838,2.2323,1.7439468739824155
