CURRENCY,maxValue,minValue,avgValue
AUD,2.0735,1.1639,1.5767887658743085
BGN,1.962,1.9441,1.9545920090527724
BRL,6.9553,2.1749,3.745239682126097
CAD,1.8123,1.2139,1.4657157277759776
CHF,1.6803,0.9437,1.3343765060240977
CNY,11.1699,6.5552,8.461653356812665
CYP,0.5888,0.57097,0.5783544314236129
CZK,38.583,22.968,28.15027336372516
DKK,7.4732,7.4234,7.44804280364702
EEK,15.6466,15.6466,15.646600000000033
GBP,0.97855,0.5711,0.775192608270918
HKD,12.4702,6.4361,9.282599169651592
HRK,7.7253,7.1047,7.451267400396215
HUF,430.65,228.16,289.045436339954
IDR,18239.61,10867.58,14311.950444640112
ILS,5.2192,3.2537,4.3009507170795205
INR,92.065,56.065,75.25186577331093
ISK,305.0,68.07,106.98076295711675
JPY,169.75,89.3,127.60627971344856
KRW,1993.95,938.67,1349.7099397590355
LTL,4.7174,3.3013,3.527613570905472
LVL,0.7099,0.5191,0.6631938323789656
MTL,0.4435,0.3883,0.4205288628472249
MXN,27.0896,14.7939,19.61363619072435
MYR,5.1857,3.8193,4.568771142416906
NOK,12.3165,7.2225,8.616751970042335
NZD,2.5535,1.3884,1.8146398404428499
PHP,72.651,46.852,59.24420647149472
PLN,4.9525,3.2053,4.165796125040685
ROL,41429.0,12912.0,29213.1015625
RON,4.951,3.113,4.339167597141598
RUB,117.201,33.336,54.93800939303023
SEK,11.7135,8.055,9.479148990556832
SGD,2.2323,1.3838,1.7439468739824142
SIT,240.03,187.13,224.63015129331376
SKK,47.484,30.126,39.512409765624916
THB,53.536,33.204,41.277351089588386
TRL,1912400.0,370147.0,1172407.7033181523
TRY,20.0434,1.555,4.430620260586324
USD,1.599,0.8252,1.1929415499837148
ZAR,20.8452,6.0785,11.878189010094397
